Cuijpers Appendix E Study,Cuijpers Appendix E Study (raw),Cuijpers Full Reference,Present in mmc3 MS depression-included studies
"Hum, 2019","Hum, 2019","Hum, K. M., Chan, C. J., Gane, J., Conway, L., McAndrews, M. P., & Smith, M. L. (2019). Do distance-delivery group interventions improve depression in people with epilepsy? Epilepsy & Behavior, 98, 153‐160. doi:10.1016/j.yebeh.2019.06.037",False
"Hummel, 2017","Hummel, 2017","Hummel, J., Weisbrod, C., Boesch, L., Himpler, K., Hauer, K., Hautzinger, M., . . . Kopf, D. (2017). AIDE–Acute Illness and Depression in Elderly Patients. Cognitive Behavioral Group Psychotherapy in Geriatric Patients With Comorbid Depression: A Randomized, Controlled Trial. Journal of the american medical directors association, 18(4), 341-349.",False
"Hunter, 2012 I","Hunter, 2012 I","Hunter SB, Watkins KE, Hepner KA, Paddock SM, Ewing BA, Osilla KC, et al. Treating depression and substance use: A randomized controlled trial. Journal of substance abuse treatment. 2012;43(2):137-51.",False
"Husain, 2017","Husain, 2017","Husain, N., Zulqernain, F., Carter, L.-A., Chaudhry, I., Fatima, B., Kiran, T., . . . Rahman, A. (2017). Treatment of maternal depression in urban slums of Karachi, Pakistan: a randomized controlled trial (RCT) of an integrated maternal psychological and early child development intervention. Asian journal of psychiatry, 29, 63-70.",False
"Jarrett, 1999","Jarett, 1999","Jarrett RB, Schaffer M, McIntire D, Witt-Browder A, Kraft D, Risser RC. Treatment of atypical depression with cognitive therapy or phenelzine: A double-blind, placebo-controlled trial. Archives of General Psychiatry. 1999;56(5):431-7.",False
"Jesse, 2015","Jesse, 2015","Jesse DE, Gaynes BN, Feldhousen EB, Newton ER, Bunch S, Hollon SD. Performance of a culturally tailored cognitive-behavioral intervention integrated in a public health setting to reduce risk of antepartum depression: A randomized controlled trial. Journal of Midwifery and Women's Health. 2015;60(5):578-92.",False
"Johansson, 2012 - I","Johansson, 2012 - I","Johansson R, Ekbladh S, Hebert A, Lindström M, Möller S, Petitt E, et al. Psychodynamic guided self-help for adult depression through the internet: A randomised controlled trial. PloS One. 2012;7(5):e38021.",False
"Johansson, 2019","Johansson, 2019","Johansson, O., Bjärehed, J., Andersson, G., Carlbring, P., & Lundh, L. G. (2019). Effectiveness of guided internet-delivered cognitive behavior therapy for depression in routine psychiatry: A randomized controlled trial. Internet Interventions, 17. doi:10.1016/j.invent.2019.100247",False
"Johnson, 2016","Johnson, 2016","Johnson, J. E., Price, A. B., Kao, J. C., Fernandes, K., Stout, R., Gobin, R. L., & Zlotnick, C. (2016). Interpersonal psychotherapy (IPT) for major depression following perinatal loss: a pilot randomized controlled trial. Archives of Women's Mental Health, 19(5), 845-859.",False
"Johnson, 2019","Johnson, 2019","Johnson, J. E., Stout, R. L., Miller, T. R., Zlotnick, C., Cerbo, L. A., Andrade, J. T., . . . Wiltsey-Stirman, S. (2019). Randomized cost-effectiveness trial of group interpersonal psychotherapy (IPT) for prisoners with major depression. Journal of consulting and clinical psychology, 87(4), 392-406. doi:10.1037/ccp0000379",False
"Joling, 2011","Joling, 2011","Joling KJ, Hout HP, van't Veer-Tazelaar PJ, Horst HE, Cuijpers P, Ven PM, et al. How effective is bibliotherapy for very old adults with subthreshold depression? A randomized controlled trial. American Journal of Geriatric Psychiatry. 2011;19(3):256-65.",False
"Jordans, 2019","Jordans, 2019","Jordans, M. J. D., Luitel, N. P., Garman, E., Kohrt, B. A., Rathod, S. D., Shrestha, P., . . . Patel, V. (2019). Effectiveness of psychological treatments for depression and alcohol use disorder delivered by community-based counsellors: Two pragmatic randomised controlled trials within primary healthcare in Nepal. British Journal of Psychiatry, 215(2), 485-493. doi:10.1192/bjp.2018.300",False
"Kamga, 2017","Kamga, 2017","Kamga, H., McCusker, J., Yaffe, M., Sewitch, M., Sussman, T., Strumpf, E., . . . Freeman, E. (2017). Self-care tools to treat depressive symptoms in patients with age-related eye disease: a randomized controlled clinical trial. Clinical & experimental ophthalmology, 45(4), 371-378.",False
"Kay-Lambkin, 2011","Kay-Lambkin, 2011","Kay-Lambkin FJ, Baker AL, Kelly B, Lewin TJ. Clinician-assisted computerised versus therapist-delivered treatment for depressive and addictive disorders: A randomised controlled trial. The Medical journal of Australia. 2011;195(3):S44-50.",False
"Kelly, 1993","Kelly, 1993","Kelly JA, Murphy DA, Bahr GR, Kalichman SC, Morgan MG, Stevenson LY, et al. Outcome of cognitive-behavioral and support group brief therapies for depressed, HIV-infected persons. American Journal of Psychiatry. 1993;150(11):1679-86.",False
"Kenter, 2016","Kenter, 2016","Kenter, R. M. F., Cuijpers, P., Beekman, A., & van Straten, A. (2016). Effectiveness of a Web-based guided self-help intervention for outpatients with a depressive disorder: Short-term results from a randomized controlled trial. Journal of medical Internet research, 18(3).",False
"Kessler, 2009","Kessler, 2009","Kessler D, Lewis G, Kaur S, Wiles N, King M, Weich S, et al. Therapist-delivered Internet psychotherapy for depression in primary care: A randomised controlled trial. Lancet. 2009;374(9690):628-34.",False
"Kim, 2018","Kim, 2018","Kim YH, Choi KS, Han K, Kim HW. A psychological intervention programme for patients with breast cancer under chemotherapy and at a high risk of depression: a randomised clinical trial. Journal of clinical nursing 2018; 27(3‐4): 572‐81.",False
"King, 2000","King, 2000","King M, Sibbald B, Ward E, Bower P, Lloyd M, Gabbay M, et al. Randomised controlled trial of non-directive counselling, cognitive-behaviour therapy and usual general practitioner care in the management of depression as well as mixed anxiety and depression in primary care. Health Technology Assessment. 2000;4(19):1-83.",False
"Kiosses, 2010","Kiosses, 2010","Kiosses DN, Arean PA, Teri L, Alexopoulos GS. Home-delivered problem adaptation therapy (PATH) for depressed, cognitively impaired, disabled elders: A preliminary study. The American Journal of Geriatric Psychiatry. 2010;18(11):988-98.",False
"Kiosses, 2015","Kiosses, 2015","Kiosses DN, Ravdin LD, Gross JJ, Raue P, Kotbi N, Alexopoulos GS. Problem adaptation therapy for older adults with major depression and cognitive impairment: A randomized clinical trial. JAMA psychiatry. 2015;72(1):22-30.",False
"Kivi, 2014","Kivi, 2014","Kivi M, Eriksson MCM, Hange D, Petersson E-L, Vernmark K, Johansson B, et al. Internet-based therapy for mild to moderate depression in Swedish primary care: Short term results from the PRIM-NET randomized controlled trial. Cognitive Behaviour Therapy. 2014;43(4):289-98.",False
"Kleiboer, 2015","Kleiboer, 2015","Kleiboer A, Donker T, Seekles W, van Straten A, Riper H, Cuijpers P. A randomized controlled trial on the role of support in Internet-based problem solving therapy for depression and anxiety. Behaviour Research and Therapy. 2015;72:63-71.",False
"Korte, 2012","Korte, 2012","Korte J, Bohlmeijer ET, Cappeliez P, Smit F, Westerhof GJ. Life review therapy for older adults with moderate depressive symptomatology: A pragmatic randomized controlled trial. Psychological Medicine. 2012;42(6):1163-73.",False
"Koszycki, 2012","Koszycki, 2012","Koszycki D, Bisserbe J-C, Blier P, Bradwejn J, Markowitz J. Interpersonal psychotherapy versus brief supportive therapy for depressed infertile women: First pilot randomized controlled trial. Archives of Women's Mental Health. 2012;15(3):193-201.",False
"L, 2019","Lök, 2019","Lök, N., Bademli, K., & Selçuk-Tosun, A. (2019). The effect of reminiscence therapy on cognitive functions, depression, and quality of life in Alzheimer patients: randomized controlled trial. International Journal of Geriatric Psychiatry, 34(1), 47‐53. doi:10.1002/gps.4980",False
"Laidlaw, 2008","Laidlaw, 2008","Laidlaw K, Davidson K, Toner H, Jackson G, Clark S, Law J, et al. A randomised controlled trial of cognitive behaviour therapy vs treatment as usual in the treatment of mild to moderate late life depression. International Journal of Geriatric Psychiatry. 2008;23(8):843-50.",False
"Lamers, 2010","Lamers, 2010","Lamers F, Jonkers CC, Bosma H, Kempen GI, Meijer JA, Penninx BW, et al. A minimal psychological intervention in chronically ill elderly patients with depression: A randomized trial. Psychotherapy and Psychosomatics. 2010;79(4):217-26.",False
"Lamers, 2015","Lamers, 2015","Lamers SMA, Bohlmeijer ET, Korte J, Westerhof GJ. The efficacy of life-review as online-guided self-help for adults: A randomized trial. The Journals of Gerontology: Series B: Psychological Sciences and Social Sciences 2015; 70B(1): 24-34.",False
"Landreville, 1997","Landreville, 1997","Landreville P, Bissonnette L. Effects of cognitive bibliotherapy for depressed older adults with a disability. Clinical Gerontologist. 1997;17(4):35-55.",False
"Lappalainen, 2015","Lappalainen, 2015","Lappalainen P, Langrial S, Oinas-Kukkonen H, Tolvanen A, Lappalainen R. Web-based acceptance and commitment therapy for depressive symptoms with minimal support: A randomized controlled trial. Behavior modification. 2015;39(6):805-34.",False
"Larcombe, 1984","Larcombe, 1984","Larcombe NA, Wilson PH. An evaluation of cognitive-behaviour therapy for depression in patients with multiple sclerosis. The British Journal of Psychiatry. 1984;145:366-71.",False
"Lemmens, 2015","Lemmens, 2015","Lemmens LHJM, Arntz A, Peeters F, Hollon SD, Roefs A, Huibers MJH. Clinical effectiveness of cognitive therapy v. interpersonal psychotherapy for depression: Results of a randomized controlled trial. Psychological Medicine. 2015;45(10):2095-110.",False
"Lenze, 2017","Lenze, 2017","Lenze, S., & Potts, M. (2017). Brief Interpersonal Psychotherapy for depression during pregnancy in a low-income population: a randomized controlled trial. Journal of Affective Disorders, 210, 151-157.",False
"Lerner, 2015","Lerner, 2015","Lerner D, Adler DA, Rogers WH, Chang H, Greenhill A, Cymerman E, et al. A randomized clinical trial of a telephone depression intervention to reduce employee presenteeism and absenteeism. Psychiatric Services. 2015;66(6):570-7.",False
"Leuzinger-Bohleber, 2019","Leuzinger-Bohleber, 2019","Leuzinger-Bohleber, M., Hautzinger, M., Fiedler, G., Keller, W., Bahrke, U., Kallenbach, L., . . . Beutel, M. (2019). Outcome of Psychoanalytic and Cognitive-Behavioural Long-Term Therapy with Chronically Depressed Patients: A Controlled Trial with Preferential and Randomized Allocation. Canadian Journal of Psychiatry, 64(1), 47-58. doi:10.1177/0706743718780340",False
"Lexis, 2011","Lexis, 2011","Lexis MA, Jansen NW, Huibers MJ, Amelsvoort LG, Berkouwer A, Tjin ATG, et al. Prevention of long-term sickness absence and major depression in high-risk employees: A randomised controlled trial. Occupational and Environmental Medicine. 2011;68(6):400-7.",False
"Liu, 2009","Liu, 2009","Liu ET-H, Chen W-L, Li Y-H, Wang CH, Mok TJ, Huang HS. Exploring the efficacy of cognitive bibliotherapy and a potential mechanism of change in the treatment of depressive symptoms among the Chinese: A randomized controlled trial. Cognitive Therapy and Research. 2009;33(5):449-61.",False
"Losada, 2015","Losada, 2015","Losada A, Márquez-González M, Romero-Moreno R, Mausbach BT, López J, Fernández-Fernández V, et al. Cognitive–behavioral therapy (CBT) versus acceptance and commitment therapy (ACT) for dementia family caregivers with significant depressive symptoms: Results of a randomized clinical trial. Journal of Consulting and Clinical Psychology. 2015;83(4):760-72.",False
"Lovell, 2008","Lovell, 2008","Lovell K, Bower P, Richards D, Barkham Mi, Sibbald B, Roberts C, et al. Developing guided self-help for depression using the medical research council complex interventions framework: A description of the modelling phase and results of an exploratory randomised controlled trial. BMC psychiatry. 2008;8.",False
"Lustman, 1998","Lustman, 1998","Lustman PJ, Griffith LS, Freedland KE, Kissel SS, Clouse RE. Cognitive behavior therapy for depression in type 2 diabetes mellitus. A randomized, controlled trial. Annals of Internal Medicine. 1998;129(8):613-21.",False
"Luty, 2007","Luty, 2007","Luty SE, Carter JD, McKenzie JM, Rae AM, Frampton CM, Mulder RT, et al. Randomised controlled trial of interpersonal psychotherapy and cognitive-behavioural therapy for depression. The British Journal of Psychiatry. 2007;190:496-502.",False
"Ly, 2014","Ly, 2014","Ly KH, Truschel A, Jarl L, Magnusson S, Windahl T, Johansson R, et al. Behavioural activation versus mindfulness-based guided self-help treatment administered through a smartphone application: A randomised controlled trial. BMJ Open. 2014;4(1):e003440.",False
"Lynch, 1997","Lynch, 1997","Lynch DJ, Tamburrino MB, Nagel R. Telephone counseling for patients with minor depression: Preliminary findings in a family practice setting. The Journal of family practice. 1997;44(3):293-8.",False
"Lynch, 2004","Lynch, 2004","Lynch D, Tamburrino M, Nagel R, Smith MK. Telephone-based treatment for family practice patients with mild depression. Psychological reports. 2004;94(3 Pt 1):785-92.",False
"MacPherson, 2013","MacPherson, 2013","MacPherson H, Richmond S, Bland M, Brealey S, Gabe R, Hopton A, et al. Acupuncture and counselling for depression in primary care: A randomised controlled trial. PLoS medicine. 2013;10(9):e1001518.",False
"Maina, 2005","Maina, 2005","Maina G, Forner F, Bogetto F. Randomized controlled trial comparing brief dynamic and supportive therapy with waiting list condition in minor depressive disorders. Psychotherapy and Psychosomatics. 2005;74(1):43-50.",False
"Maldonado, 1982","Maldonado, 1982",Maldonado López A. Terapia de conducta y depresión: Un análisis experimental de los modelos conductual y cognitivo. Revista de Psicologia General y Aplicada. 1982.,False
"Malouff, 1988","Malouff, 1988","Malouff JM, Lanyon RI, Schutte NS. Effectiveness of a brief group RET treatment for divorce-related dysphoria. Journal of Rational-Emotive and Cognitive-Behavior Therapy. 1988;6(3):162-71.",False
"Manicavasgar, 2011","Manicavasgar, 2011","Manicavasgar V, Parker G, Perich T. Mindfulness-based cognitive therapy vs cognitive behaviour therapy as a treatment for non-melancholic depression. Journal of Affective Disorders. 2011;130(1):138-44.",False
"Markowitz, 1998","Markowitz, 1998","Markowitz JC, Kocsis JH, Fishman B, Spielman LA, Jacobsberg LB, Frances AJ, et al. Treatment of depressive symptoms in human immunodeficiency virus-positive patients. Archives of General Psychiatry. 1998;55(5):452-7.",False
"Markowitz, 2005","Markowitz, 2005","Markowitz JC, Kocsis JH, Bleiberg KL, Christos PJ, Sacks M. A comparative trial of psychotherapy and pharmacotherapy for ""pure"" dysthymic patients. Journal of Affective Disorders. 2005;89(1-3):167-75.",False
"Markowitz, 2008","Markowitz, 2008","Markowitz JC, Kocsis JH, Christos P, Bleiberg K, Carlin A. Pilot study of interpersonal psychotherapy versus supportive psychotherapy for dysthymic patients with secondary alcohol abuse or dependence. Journal of Nervous and Mental Disease. 2008;196(6):468-74.",False
"Martin, 2015","Martin, 2015","Martin PR, Aiello R, Gilson K, Meadows G, Milgrom J, Reece J. Cognitive behavior therapy for comorbid migraine and/or tension-type headache and major depressive disorder: An exploratory randomized controlled trial. Behaviour Research and Therapy. 2015;73:8-18.",False
"Matsuzaka, 2017","Matsuzaka, 2017","Matsuzaka, C., Wainberg, M., Norcini, P. A., Hoffmann, E., Coimbra, B., Braga, R., . . . Mello, M. (2017). Task shifting interpersonal counseling for depression: a pragmatic randomized controlled trial in primary care. BMC Psychiatry, 17(1)",False
"McClay, 2015","McClay, 2015","McClay CA, Collins K, Matthews L, Haig C, McConnachie A, Morrison J, et al. A community-based pilot randomised controlled study of life skills classes for individuals with low mood and depression. BMC psychiatry. 2015;15:17.",False
"McIndoo, 2016","McIndoo, 2016","McIndoo CC, File AA, Preddy T, Clark CG, Hopko DR. Mindfulness-based therapy and behavioral activation: A randomized controlled trial with depressed college students. Behaviour Research and Therapy. 2016;77:118-28.",False
"McKee, 2006","McKee, 2006","McKee MD, Zayas LH, Fletcher J, Boyd RC, Nam SH. Results of an intervention to reduce perinatal depression among low-income minority women in community primary care. Journal of Social Service Research. 2006;32(4):63-81.",False
"McLean, 1979","McLean, 1979","McLean PD, Hakstian AR. Clinical depression: Comparative efficacy of outpatient treatments. Journal of Consulting and Clinical Psychology. 1979;47(5):818-36.",False
"Michalak, 2015","Michalak, 2015","Michalak J, Schultze M, Heidenreich T, Schramm E. A randomized controlled trial on the efficacy of mindfulness-based cognitive therapy and a group version of cognitive behavioral analysis system of psychotherapy for chronically depressed patients. Journal of Consulting and Clinical Psychology. 2015;83(5):951-63.",False
"Milgrom, 2005","Milgrom, 2005","Milgrom J, Negri LM, Gemmill AW, McNeil M, Martin PR. A randomized controlled trial of psychological interventions for postnatal depression. British Journal of Clinical Psychology. 2005;44(4):529-42.",False
"Milgrom, 2011","Milgrom, 2011","Milgrom J, Holt CJ, Gemmill AW, Ericksen J, Leigh B, Buist A, et al. Treating postnatal depressive symptoms in primary care: A randomised controlled trial of GP management, with and without adjunctive counselling. BMC psychiatry. 2011;11:95.",False
"Milgrom, 2015 II","Milgrom, 2015 II","Milgrom J, Holt C, Holt CJ, Ross J, Ericksen J, Gemmill AW. Feasibility study and pilot randomised trial of an antenatal depression treatment with infant follow-up. Archives of Women's Mental Health. 2015;18(5):717-30.",False
"Milgrom, 2016","Milgrom, 2016","Milgrom J, Danaher BG, Gemmill AW, Holt C, Holt CJ, Seeley JR, et al. Internet cognitive behavioral therapy for women with postnatal depression: A randomized controlled trial of MumMoodBooster. Journal of Medical Internet Research. 2016;18(3):e54.",False
"Miller, 2002","Miller, 2002","Miller L, Weissman M. Interpersonal psychotherapy delivered over the telephone to recurrent depressives. A pilot study. Depression and anxiety. 2002;16(3):114-7.",False
"Mohr, 2000","Mohr, 2000","Mohr DC, Likosky W, Bertagnolli A, Goodkin DE, Van Der Wende J, Dwyer P, et al. Telephone-administered cognitive-behavioral therapy for the treatment of depressive symptoms in multiple sclerosis. Journal of Consulting and Clinical Psychology. 2000;68(2):356-61.",False
"Mohr, 2001","Mohr, 2001","Mohr DC, Boudewyn AC, Goodkin DE, Bostrom A, Epstein L. Comparative outcomes for individual cognitive-behavior therapy, supportive-expressive group psychotherapy, and sertraline for the treatment of depression in multiple sclerosis. Journal of Consulting and Clinical Psychology. 2001;69(6):942-9.",False
"Mohr, 2005","Mohr, 2005","Mohr DC, Hart SL, Julian L, Catledge C, Honos-Webb L, Vella L, et al. Telephone-administered psychotherapy for depression. Archives of General Psychiatry. 2005;62(9):1007-14.",False
"Mohr, 2013","Mohr, 2013","Mohr DC, Duffecy J, Ho J, Kwasny M, Cai X, Burns MN, et al. A randomized controlled trial evaluating a manualized TeleCoaching protocol for improving adherence to a web-based intervention for the treatment of depression. PLoS One. 2013;8(8):e70086.",False
"Montero-Mar, 2016","Montero-Marín, 2016","Montero-Marín, J., Araya, R., Pérez-Yus, M. C., Mayoral, F., Gili, M., Botella, C., . . . López-Del-Hoyo, Y. (2016). An internet-based intervention for depression in primary Care in Spain: a randomized controlled trial. Journal of medical Internet research, 18(8), e231.",False
"Mossey, 1996","Mossey, 1996","Mossey JM, Knott KA, Higgins M, Talerico K. Effectiveness of a psychosocial intervention, interpersonal counseling, for subdysthymic depression in medically ill elderly. The journals of gerontology Series A, Biological sciences and medical sciences. 1996;51(4):M172-8.",False
"Mukhtar, 2011","Mukhtar, 2011",Mukhtar F. Predictors of group cognitive behaviour therapy outcomes for the treatment of depression in Malaysia. Asian Journal of Psychiatry. 2011;4(2):125-8.,False
"Mulcahy, 2010","Mulcahy, 2010","Mulcahy R, Reay RE, Wilkinson RB, Owen C. A randomised control trial for the effectiveness of group interpersonal psychotherapy for postnatal depression. Archives of Women's Mental Health. 2010;13(2):125-39.",False
"Naeem, 2013","Naeem, 2013","Naeem F, Sarhandi I, Gul M, Khalid M, Aslam M, Anbrin A. A multicentre randomised controlled trial of a carer supervised culturally adapted cbt (cacbt) based self-help for depression in pakistan. Journal of Affective Disorders. 2013;156:224-7.",False
"Nakagawa, 2017","Nakagawa, 2017","Nakagawa, A., Mitsuda, D., Sado, M., Abe, T., Fujisawa, D., Kikuchi, T., . . . Ono, Y. (2017). Effectiveness of supplementary cognitive-behavioral therapy for pharmacotherapy-resistant depression: A randomized controlled trial. Journal of clinical psychiatry, 78(8), 1126-1135",False
"Nasrin, 2017","Nasrin, 2017","Nasrin, F., Rimes, K., Reinecke, A., Rinck, M., & Barnhofer, T. (2017). Effects of Brief Behavioural Activation on Approach and Avoidance Tendencies in Acute Depression: preliminary Findings. Behavioural and Cognitive Psychotherapy, 45(1), 58-72.",False
"Neugebauer, 2006","Neugebauer, 2006","Neugebauer R, Kline J, Markowitz JC, Bleiberg KL, Baxi L, Rosing MA, et al. Pilot randomized controlled trial of interpersonal counseling for subsyndromal depression following miscarriage. Journal of Clinical Psychiatry. 2006;67(8):1299-304.",False
"Newby, 2014","Newby, 2014","Newby JM, Lang T, Werner-Seidler A, Holmes E, Moulds ML. Alleviating distressing intrusive memories in depression: A comparison between computerised cognitive bias modification and cognitive behavioural education. Behaviour Research and Therapy. 2014;56:60-7.",False
"Newby, 2017","Newby, 2017","Newby, J., Robins, L., Wilhelm, K., Smith, J., Fletcher, T., Gillis, I., . . . Andrews, G. (2017). Web-Based Cognitive Behavior Therapy for Depression in People With Diabetes Mellitus: a Randomized Controlled Trial. Journal of medical Internet research, 19(5), e157.",False
"Nezu, 1986","Nezu, 1986",Nezu AM. Efficacy of a social problem-solving therapy approach for unipolar depression. Journal of Consulting and Clinical Psychology. 1986;54(2):196-202.,False
"Ng, 2013","Ng, 2013","Ng SE, Tien A, Thayala JN, Ho RC, Chan MF. The effect of life story review on depression of older community-dwelling Chinese adults in Singapore: A preliminary result. International Journal of Geriatric Psychiatry. 2013;28(3):328-30.",False
"Ngai, 2015","Ngai, 2015","Ngai FW, Wong P-C, Leung KY, Chau PH, Chung KF. The effect of telephone-based cognitive-behavioral therapy on postnatal depression: A randomized controlled trial. Psychotherapy and Psychosomatics. 2015;84(5):294-303.",False
"Nollett, 2016","Nollett, 2016","Nollett CL, Bray N, Bunce C, Casten RJ, Edwards RT, Hegel MT, et al. Depression in Visual Impairment Trial (DEPVIT): A randomized clinical trial of depression treatments in people with low vision. Investigative Ophthalmology and Visual Science. 2016;57(10):4247-54.",False
"Nystr, 2017","Nyström, 2017","Nyström, M., Stenling, A., Sjöström, E., Neely, G., Lindner, P., HassmÈn, P., . . . Carlbring, P. (2017). Behavioral activation versus physical activity via the internet: a randomized controlled trial. Journal of Affective Disorders, 215, 85-93.",False
"O'Hara, 2000","O'Hara, 2000","O'Hara MW, Stuart S, Gorman LL, Wenzel A. Efficacy of interpersonal psychotherapy for postpartum depression. Archives of General Psychiatry. 2000;57(11):1039-45.",False
"O'Mahen, 2013","O'Mahen, 2013","O'Mahen H, Himle JA, Fedock G, Henshaw E, Flynn H. A pilot randomized controlled trial of cognitive behavioral therapy for perinatal depression adapted for women with low incomes. Depression and anxiety. 2013;30(7):679-87.",False
"O'Neil, 2014","O'Neil, 2014","O'Neil A, Taylor B, Sanderson K, Cyril S, Chan B, Hawkes AL, et al. Efficacy and feasibility of a tele-health intervention for acute coronary syndrome patients with depression: Results of the ""MoodCare"" randomized controlled trial. Annals of Behavioral Medicine. 2014;48(2):163-74.",False
"Olukolade, 2017","Olukolade, 2017","Olukolade, O., & Osinowo, H. (2017). Efficacy of Cognitive Rehabilitation Therapy on Poststroke Depression among Survivors of First Stroke Attack in Ibadan, Nigeria. Behavioural Neurology, 2017",False
"Omidi, 2013","Omidi, 2013","Omidi A, Mohammadkhani P, Mohammadi A, Zargar F. Comparing mindfulness based cognitive therapy and traditional cognitive behavior therapy with treatments as usual on reduction of major depressive disorder symptoms. Iranian Red Crescent Medical Journal. 2013;15(2):142-6.",False
"Onuigbo, 2019","Onuigbo, 2019","Onuigbo, L. N., Eseadi, C., Ebifa, S., Ugwu, U. C., Onyishi, C. N., & Oyeoku, E. K. (2019). Effect of rational emotive behavior therapy program on depressive symptoms among university students with blindness in Nigeria. Journal of Rational-Emotive & Cognitive-Behavior Therapy, 37(1), 17-38. doi:10.1007/s10942-018-0297-3",False
"Pace, 1993","Pace, 1993","Pace TM, Dixon DN. Changes in depressive self-schemata and depressive symptoms following cognitive therapy. Journal of Counseling Psychology. 1993;40(3):288.",False
"Padfield, 1976","Padfield, 1976",Padfield M. The comparative effects of two counseling approaches on the intensity of depression among rural women of low socioeconomic status. Journal of Counseling Psychology. 1976;23(3):209.,False
"Pecheur, 1984","Pecheur, 1984","Pecheur DR, Edwards KJ. A comparison of secular and religious versions of cognitive therapy with depressed Christian college students. Journal of Psychology and Theology. 1984.",False
"Peden, 2000","Peden, 2000","Peden AR, Hall LA, Rayens MK, Beebe LL. Reducing negative thinking and depressive symptoms in college women. Journal of Nursing Scholarship. 2000;32(2):145-51.",False
"Penckofer, 2012","Penckofer, 2012","Penckofer SM, Ferrans C, Mumby P, Byrn M, Emanuele MA, Harrison PR, et al. A psychoeducational intervention (SWEEP) for depressed women with diabetes. Annals of Behavioral Medicine. 2012;44(2):192-206.",False
"Perini, 2009","Perini, 2009","Perini S, Titov N, Andrews G. Clinician-assisted Internet-based treatment is effective for depression: Randomized controlled trial. Australian and New Zealand Journal of Psychiatry. 2009;43(6):571-8.",False
"Petersen, 2014","Petersen, 2014","Petersen I, Hanass Hancock J, Bhana A, Govender K. A group-based counselling intervention for depression comorbid with HIV/AIDS using a task shifting approach in South Africa: A randomized controlled pilot study. Journal of Affective Disorders. 2014;158:78-84.",False
"Pibernik-Okanovi, 2015","Pibernik, 2015","Pibernik-Okanović M, Hermanns N, Ajduković D, Kos J, Prašek M, Šekerija M, Lovrenčić MV. Does treatment of subsyndromal depression improve depression-related and diabetes-related outcomes? A randomised controlled comparison of psychoeducation, physical exercise and enhanced treatment as usual. Trials. 2015 Jul 15;16:305.",False
"Poleshuck, 2014","Poleshuck, 2014","Poleshuck EL, Gamble SA, Bellenger K, Lu N, Tu X, Sorensen S, et al. Randomized controlled trial of interpersonal psychotherapy versus enhanced treatment as usual for women with co-occurring depression and pelvic pain. Journal of psychosomatic research. 2014;77(4):264-72.",False
"Pots, 2014","Pots, 2014","Pots WTM, Meulenbeek PAM, Veehof MM, Klungers J, Bohlmeijer ET. The efficacy of mindfulness-based cognitive therapy as a public mental health intervention for adults with mild to moderate depressive symptomatology: A randomized controlled trial. PLoS One. 2014;9(10).",False
"Pots, 2016","Pots, 2016","Pots WT, Fledderus M, Meulenbeek PA, ten Klooster PM, Schreurs KM, Bohlmeijer ET. Acceptance and commitment therapy as a web-based intervention for depressive symptoms: Randomised controlled trial. The British Journal of Psychiatry. 2016;208(1):69-77.",False
"Power, 2012","Power, 2012","Power MJ, Freeman C. A randomized controlled trial of IPT versus CBT in primary care: With some cautionary notes about handling missing values in clinical trials. Clinical Psychology and Psychotherapy. 2012;19(2):159-69.",False
"Preschl, 2012","Preschl, 2012","Preschl B, Maercker A, Wagner B, Forstmeier S, Banos RM, Alcaniz M, et al. Life-review therapy with computer supplements for depression in the elderly: A randomized controlled trial. Aging and Mental Health. 2012;16(8):964-74.",False
"Propst, 1992","Propst, 1992","Propst LR, Ostrom R, Watkins P, Dean T, Mashburn D. Comparative efficacy of religious and nonreligious cognitive-behavioral therapy for the treatment of clinical depression in religious individuals. Journal of Consulting and Clinical Psychology. 1992;60(1):94-103.",False
"Pugh, 2016","Pugh, 2016","Pugh, N. E., Hadjistavropoulos, H. D., & Dirkse, D. (2016). A Randomised Controlled Trial of Therapist-Assisted, Internet-Delivered Cognitive Behavior Therapy for Women with Maternal Depression. PLoS ONE, 11(3), e0149186.",False
"Qiu, 2013","Qiu, 2013","Qiu J, Chen W, Gao X, Xu Y, Tong H, Yang M, et al. A randomized controlled trial of group cognitive behavioral therapy for Chinese breast cancer patients with major depression. Journal of psychosomatic obstetrics and gynaecology. 2013;34(2):60-7.",False
"Ransom, 2008","Ransom, 2008","Ransom D, Heckman TG, Anderson T, Garske J, Holroyd K, Basta T. Telephone-delivered, interpersonal psychotherapy for HIV-infected rural persons with depression: A pilot trial. Psychiatric Services. 2008;59(8):871-7.",False
"Raue, 2019","Raue, 2019","Raue, P. J., Sirey, J. A., Dawson, A., Berman, J., & Bruce, M. L. (2019). Lay-delivered behavioral activation for depressed senior center clients: Pilot RCT. International journal of geriatric psychiatry, 34(11), 1715-1723. doi:10.1002/gps.5186",False
"Richards, 2015","Richards, 2015","Richards D, Timulak L, O'Brien E, Hayes C, Vigano N, Sharry J, et al. A randomized controlled trial of an internet-delivered treatment: Its potential as a low-intensity community intervention for adults with symptoms of depression. Behaviour Research and Therapy. 2015;75:20-31.",False
