Cuijpers Appendix E Study,Cuijpers Full Reference,mmc3 Excluded Study ID,mmc3 Reason for Exclusion
"Power, 2012","Power MJ, Freeman C. A randomized controlled trial of IPT versus CBT in primary care: With some cautionary notes about handling missing values in clinical trials. Clinical Psychology and Psychotherapy. 2012;19(2):159-69.",Power 2012,Data cannot be extracted
"Preschl, 2012","Preschl B, Maercker A, Wagner B, Forstmeier S, Banos RM, Alcaniz M, et al. Life-review therapy with computer supplements for depression in the elderly: A randomized controlled trial. Aging and Mental Health. 2012;16(8):964-74.",Preschl 2012,Intervention: Psychological intervention not of interest
"Propst, 1992","Propst LR, Ostrom R, Watkins P, Dean T, Mashburn D. Comparative efficacy of religious and nonreligious cognitive-behavioral therapy for the treatment of clinical depression in religious individuals. Journal of Consulting and Clinical Psychology. 1992;60(1):94-103.",Propst 1992,Population: Chronic depression
"Richards, 2015","Richards D, Timulak L, O'Brien E, Hayes C, Vigano N, Sharry J, et al. A randomized controlled trial of an internet-delivered treatment: Its potential as a low-intensity community intervention for adults with symptoms of depression. Behaviour Research and Therapy. 2015;75:20-31.",Richards 2015,Population: <80% first-line treatment
"Richards, 2016","Richards, D. A., Ekers, D., McMillan, D., Taylor, R. S., Byford, S., Warren, F. C., . . . Finning, K. (2016). Cost and Outcome of Behavioural Activation versus Cognitive Behavioural Therapy for Depression (COBRA): a randomised, controlled, non-inferiority trial.",Richards 2016/2017,Population: <80% first-line treatment
"Rief, 2018","Rief W, Bleichhardt G, Dannehl K, Euteneuer F, Wambach K. Comparing the Efficacy of CBASP with Two Versions of CBT for Depression in a Routine Care Center: a Randomized Clinical Trial. Psychotherapy and psychosomatics 2018;",Rief 2018,Population: <80% non-chronic depression
"Rizvi, 2015","Rizvi SJ, Zaretsky A, Schaffer A, Levitt A. Is immediate adjunctive CBT more beneficial than delayed CBT in treating depression?: A Pilot Study. Journal of Psychiatric Practice. 2015;21(2):107-13.",Rizvi 2015,Intervention: Psychological intervention not of interest (only 1 arm meets inclusion criteria)
"Ross, 1985","Ross M, Scott M. An evaluation of the effectiveness of individual and group cognitive therapy in the treatment of depressed patients in an inner city health centre. The Journal of the Royal College of General Practitioners. 1985;35(274):239-42.",Ross 1985,Data cannot be extracted
"Russell, 2019","Russell, A., Gaunt, D. M., Cooper, K., Barton, S., Horwood, J., Kessler, D., . . . et al. (2019). The feasibility of low-intensity psychological therapy for depression co-occurring with autism in adults: the Autism Depression Trial (ADEPT) â€“ a pilot randomised controlled trial. Autism. doi:10.1177/1362361319889272",Russell 2019b,Population: <80% first-line treatment
"Schulberg, 1996","Schulberg HC, Block MR, Madonia MJ, Scott CP, Rodriguez E, Imber SD, et al. Treating major depression in primary care practice. Eight-month clinical outcomes. Archives of General Psychiatry. 1996;53(10):913-9.",Schulberg 1996,Data cannot be extracted
"Scogin, 1987","Scogin F, Hamblin D, Beutler L. Bibliotherapy for depressed older adults: A self-help alternative. The Gerontologist. 1987;27(3):383-7.",Scogin 1987,Sample size N<10 per arm
"Scogin, 1989","Scogin F, Jamison C, Gochneaur K. Comparative efficacy of cognitive and behavioral bibliotherapy for mildly and moderately depressed older adults. Journal of Consulting and Clinical Psychology. 1989;57(3):403-7.",Scogin 1989,Population: <80% first-line treatment
"Scott, 1990","Scott MJ, Stradling SG. Group cognitive therapy for depression produces clinically significant reliable change in community-based settings. Behavioural Psychotherapy. 1990;18(01):1-19.",Scott 1990,Design: Non-RCT
"Selmi, 1990","Selmi PM, Klein MH, Greist JH, Sorrell SP, Erdman HP. Computer-administered cognitive-behavioral therapy for depression. American Journal of Psychiatry. 1990;147(1):51-6.",Selmi 1990,Population: <80% non-chronic depression
"Serfaty, 2009","Serfaty MA, Haworth D, Blanchard M, Buszewicz M, Murad S, King M. Clinical effectiveness of individual cognitive behavioral therapy for depressed older people in primary care: A randomized controlled trial. Archives of General Psychiatry. 2009;66(12):1332-40.",Serfaty 2009,Population: <80% first-line treatment
"Serrano Selva, 2012","Serrano Selva JP, Latorre Postigo JM, Ros Segura L, Navarro Bravo B, Aguilar Corcoles MJ, Nieto Lopez M, et al. Life review therapy using autobiographical retrieval practice for older adults with clinical depression. Psicothema. 2012;24(2):224-9.",Serrano 2012,Intervention: Psychological intervention not of interest
"Serrano, 2004","Serrano JP, Latorre JM, Gatz M, Montanes J. Life review therapy using autobiographical retrieval practice for older adults with depressive symptomatology. Psychology and Aging. 2004;19(2):270-7.",Serrano 2004,Design: Non-RCT
"Shapiro, 1990","Shapiro DA, Barkham M, Hardy GE, Morrison LA. The Second Sheffield Psychotherapy Project: rationale, design and preliminary outcome data. The British journal of medical psychology. 1990;63(2):97-108.",Shapiro 1990,Secondary analysis with no new relevant or usable data
"Shaw, 1977",Shaw BF. Comparison of cognitive therapy and behavior therapy in the treatment of depression. Journal of Consulting and Clinical Psychology. 1977;45(4):543.,Shaw 1977,Sample size N<10 per arm
"Simpson, 2003","Simpson S, Corney R, Beecham J. A randomized controlled trial to evaluate the effectiveness and cost-effectiveness of psychodynamic counselling for general practice patients with chronic depression. Psychological Medicine. 2003;33(2):229-39.",Simpson 2003,Population: <80% first-line treatment
"Sinniah, 2017","Sinniah, A., Oei, T., Maniam, T., & Subramaniam, P. (2017). Positive effects of Individual Cognitive Behavior Therapy for patients with unipolar mood disorders with suicidal ideation in Malaysia: a randomised controlled trial. Psychiatry research, 254, 179-189.",Sinniah 2017,Population: <80% non-chronic depression
"Sloane, 1985","Sloane R, Staples F, Schneider L. Interpersonal therapy versus nortriptyline for depression in the elderly. Clinical and Pharmacological Studies in Psychiatric Disorders. 1985:344-6.",Sloane 1985,Design: Non-primary paper
"Smit, 2006","Smit A, Kluiter H, Conradi HJ, Meer K, Tiemens BG, Jenner JA, et al. Short-term effects of enhanced treatment for depression in primary care: Results from a randomized controlled trial. Psychological Medicine. 2006;36(1):15-26.",Smit 2006,Population: <80% first-line treatment
"Smith, 2017","Smith, J., Newby, J. M., Burston, N., Murphy, M. J., Michael, S., Mackenzie, A., . . . Andrews, G. (2017). Help from home for depression: A randomised controlled trial comparing internet-delivered cognitive behaviour therapy with bibliotherapy for depression. Internet Interventions, 9, 25-37.",Smith 2017,Population: <80% first-line treatment
"Soares, 2018","Soares MC, Mondin TC, Silva G, et al. Comparison of Clinical Significance of Cognitive-Behavioral Therapy and Psychodynamic Therapy for Major Depressive Disorder: a Randomized Clinical Trial. Journal of nervous and mental disease 2018; 206(9): 686‐93.",Soares 2018,Data cannot be extracted
"Songprakun, 2012","Songprakun W, McCann TV. Evaluation of a cognitive behavioural self-help manual for reducing depression: A randomized controlled trial. Journal of psychiatric and mental health nursing. 2012;19(7):647-53.",Songprakun 2012,Population: Further-line treatment
"Strong, 2008","Strong V, Waters R, Hibberd C, Murray G, Wall L, Walker J, et al. Management of depression for people with cancer (SMaRT oncology 1): A randomised trial. Lancet. 2008;372(9632):40-8.",Strong 2008,Population: Trial specifically recruited participants with physical health conditions in addition to depression
"Swartz, 2008","Swartz HA, Frank E, Zuckoff A, Cyranowski JM, Houck PR, Cheng Y, et al. Brief interpersonal psychotherapy for depressed mothers whose children are receiving psychiatric treatment. American Journal of Psychiatry. 2008;165(9):1155-62.",Swartz 2008,Population: <80% first-line treatment
"Takagaki, 2016","Takagaki K, Okamoto Y, Jinnin R, Mori A, Nishiyama Y, Yamamura T, et al. Behavioral activation for late adolescents with subthreshold depression: A randomized controlled trial. European Child and Adolescent Psychiatry. 2016;25(11):1171-82.",Takagaki 2016,Data cannot be extracted
"Talbot, 2011","Talbot NL, Chaudron LH, Ward EA, Duberstein PR, Conwell Y, O'Hara MW, et al. A randomized effectiveness trial of interpersonal psychotherapy for depressed women with sexual abuse histories. Psychiatric Services. 2011;62(4):374-80.",Talbot 2011,Population: <80% non-chronic depression
"Taylor, 1977","Taylor FG, Marshall WL. Experimental analysis of a cognitive-behavioral therapy for depression. Cognitive Therapy and Research. 1977;1(1):59-72.",Taylor 1977,Sample size N<10 per arm
"Taylor, 2009","Taylor CB, Conrad A, Wilhelm FH, Strachowski D, Khaylis A, Neri E, et al. Does improving mood in depressed patients alter factors that may affect cardiovascular disease risk? Journal of Psychiatric Research. 2009;43(16):1246-52.",Taylor 2009,Population: Trial specifically recruited participants with physical health conditions in addition to depression
"Teasdale, 1984","Teasdale JD, Fennell MJ, Hibbert GA, Amies PL. Cognitive therapy for major depressive disorder in primary care. The British Journal of Psychiatry. 1984;144:400-6.",Teasdale 1984,Population: <80% first-line treatment
"Teichman, 1995","Teichman Y, Bar-el Z, Shor H, Sirota P, Elizur A. A comparison of two modalities of cognitive therapy (individual and marital) in treating depression. Psychiatry. 1995;58(2):136-48.",Teichman 1995,Population: <80% non-chronic depression
"Thompson, 1987","Thompson LW, Gallagher D, Breckenridge JS. Comparative effectiveness of psychotherapies for depressed elders. Journal of Consulting and Clinical Psychology. 1987;55(3):385.",Thompson 1987,Population: <80% non-chronic depression
"Titov, 2010","Titov N, Andrews G, Davies M, McIntyre K, Robinson E, Solley K. Internet treatment for depression: A randomized controlled trial comparing clinician vs. technician assistance. PLoS One. 2010;5(6):e10939.",Titov 2010,Population: <80% first-line treatment
"Titov, 2015","Titov N, Dear BF, Ali S, Zou JB, Lorian CN, Johnston L, et al. Clinical and cost-effectiveness of therapist-guided internet-delivered cognitive behavior therapy for older adults with symptoms of depression: A randomized controlled trial. Behavior Therapy. 2015;46(2):193-205.",Titov 2015a,Population: <80% first-line treatment
"Tomasino, 2017","Tomasino, K., Lattie, E., Ho, J., Palac, H., Kaiser, S., & Mohr, D. (2017). Harnessing Peer Support in an Online Intervention for Older Adults with Depression. American Journal of Geriatric Psychiatry, 25(10), 1109-1119.",Tomasino 2017,Design: Non-RCT
"Tulbure, 2018","Tulbure BT, Andersson G, Salagean N, Pearce M, Koenig HG. Religious versus Conventional Internet-based Cognitive Behavioral Therapy for Depression. J Relig Health 2018; 57(5): 1634-48.",Tulbure 2018a,Design: Non-RCT
"Turner, 1979","Turner RW, Ward MF, Turner DJ. Behavioral treatment for depression: An evaluation of therapeutic components. Journal of clinical psychology. 1979;35(1):166-75.",Turner 1979,Outcome(s) not of interest
"Verduyn, 2003","Verduyn C, Barrowclough C, Roberts J, Tarrier N, Harrington R. Maternal depression and child behaviour problems: Randomised placebo-controlled trial of a cognitive-behavioural group intervention. British Journal of Psychiatry. 2003;183(OCT.):342-8.",Verduyn 2003,Population: <80% first-line treatment
"Watson, 2003","Watson JC, Gordon LB, Stermac L, Kalogerakos F, Steckley P. Comparing the effectiveness of process-experiential with cognitive-behavioral psychotherapy in the treatment of depression. Journal of Consulting and Clinical Psychology. 2003;71(4):773-81.",Watson 2003,Population: >20% have coexisting personality disorder
"Westerhof, 2019","Westerhof, G. J., Lamers, S. M. A., Postel, M. G., & Bohlmeijer, E. T. (2019). Online Therapy for Depressive Symptoms: An Evaluation of Counselor-Led and Peer-Supported Life Review Therapy. The Gerontologist, 59(1), 135-146. doi:10.1093/geront/gnx140",Westerhof 2019,Intervention: Psychological intervention not of interest
"Williams, 2000","Williams JW, Barrett J, Oxman T, Frank E, Katon W, Sullivan M, et al. Treatment of dysthymia and minor depression in primary care: A randomized controlled trial in older adults. JAMA. 2000;284(12):1519-26.",Williams 2000,Population: <80% non-chronic depression
"Williams, 2013 I","Williams AD, Blackwell SE, Mackenzie A, Holmes EA, Andrews G. Combining imagination and reason in the treatment of depression: A randomized controlled trial of internet-based cognitive-bias modification and internet-CBT for depression. Journal of Consulting and Clinical Psychology. 2013;81(5):793-9.",Williams 2013b,Population: <80% first-line treatment
"Williams, 2013 II","Williams C, Wilson P, Morrison J, McMahon A, Andrew W, Allan L, et al. Guided self-help cognitive behavioural therapy for depression in primary care: A randomised controlled trial. PLoS One. 2013;8(1):e52735.",Williams 2013c,Population: <80% first-line treatment
"Williams, 2018","Williams C, McClay CA, Matthews L, et al. Community-based group guided self-help intervention for low mood and stress: Randomised controlled trial. British Journal of Psychiatry 2018; 212(2): 88-95.",Williams 2018,Population: <80% first-line treatment
"Wilson, 1983","Wilson PH, Goldin JC, Charbonneau-Powis M. Comparative efficacy of behavioral and cognitive treatments of depression. Cognitive Therapy and Research. 1983;7(2):111-24.",Wilson 1983,Sample size N<10 per arm
"Wollersheim, 1991","Wollersheim JP, Wilson GL. Group treatment of unipolar depression: A comparison of coping, supportive, bibliotherapy, and delayed treatment groups. Professional Psychology: Research and Practice. 1991;22(6):496.",Wollersheim 1991,Sample size N<10 per arm
"Wong, 2008",Wong DF. Cognitive and health-related outcomes of group cognitive behavioural treatment for people with depressive symptoms in Hong Kong: Randomized wait-list control study. Australian and New Zealand Journal of Psychiatry. 2008;42(8):702-11.,Wong 2008a,Population: <80% first-line treatment
"Wong, 2008",Wong DF. Cognitive behavioral treatment groups for people with chronic depression in Hong Kong: A randomized wait-list control design. Depression and anxiety. 2008;25(2):142-8.,Wong 2008b,Population: Further-line treatment
"Wong, 2018","Wong SYS, Sun YY, Chan ATY, et al. Treating Subthreshold Depression in Primary Care: a Randomized Controlled Trial of Behavioral Activation With Mindfulness. Annals of family medicine 2018; 16(2): 111‐9.",Wong 2018,Population: Not depression
"Wuthrich, 2013","Wuthrich VM, Rapee RM. Randomised controlled trial of group cognitive behavioural therapy for comorbid anxiety and depression in older adults. Behaviour Research and Therapy. 2013;51(12):779-86.",Wuthrich 2013,Population: <80% first-line treatment
"Xie, 2019","Xie, J., He, G., Ding, S., Pan, C., Zhang, X., Zhou, J., & Iennaco, J. D. (2019). A randomized study on the effect of modified behavioral activation treatment for depressive symptoms in rural left-behind elderly. Psychotherapy research : journal of the Society for Psychotherapy Research, 29(3), 372-382. doi:10.1080/10503307.2017.1364444",Xie 2019,Baseline severity cannot be categorised
"Yeung, 2017","Yeung, A., Wang, F., Feng, F., Zhang, J., Cooper, A., Hong, L., . . . Fava, M. (2017). Outcomes of an online computerized cognitive behavioral treatment program for treating chinese patients with depression: A pilot study. Asian journal of psychiatry. doi:10.1016/j.ajp.2017",Yeung 2017,Baseline severity cannot be categorised
"Zettle, 1989","Zettle RD, Rains JC. Group cognitive and contextual therapies in treatment of depression. Journal of clinical psychology. 1989;45(3):436-45.",Zettle 1989,Intervention: Psychological intervention not of interest (only 1 arm meets inclusion criteria)
